player_id,hand,dob,ioc,height
200731,U,19700825,AUS,
200732,R,19781122,POL,184
200733,L,19770910,AUS,170
200734,R,19780704,SRB,180
200735,R,19760318,JPN,168
200736,U,19710313,CHN,165
200737,R,19771208,POL,165
200738,R,19770124,CZE,175
200739,R,19760724,BEL,172
200740,L,19760822,UKR,170
200741,U,19780528,AUS,
200742,R,19740108,UKR,170
200743,R,19761208,IND,170
200744,R,19731230,BUL,180
200745,R,19760717,GER,168
200746,R,19790622,GER,173
200747,R,19770607,JPN,168
200748,R,19800617,USA,185
200749,R,19790117,USA,173
200750,R,19771210,USA,155
200751,R,19760120,ESP,
200752,R,19800203,ROU,177
200753,R,19780324,AUS,
200754,R,19740704,USA,160
200755,U,19500607,ITA,
200756,U,19570905,USA,
200757,U,,AUS,
200758,R,19560524,USA,163
200759,R,19480601,FRG,173
200760,U,19551015,NZL,
200761,U,,AUS,
200762,U,,AUS,
200763,R,19600325,GBR,
200764,R,19830310,RUS,189
200765,R,19791112,HUN,178
200766,R,19810210,USA,170
200767,R,19790210,USA,
200768,R,19730514,FRA,
200769,R,19780419,ITA,169
200770,R,19830318,FRA,175
200771,R,19790406,FRA,170
200772,R,19810708,RUS,174
200773,R,19810503,FRA,166
200774,L,19760124,CAN,180
200775,U,19790724,UKR,
200776,R,19790516,GER,
200777,R,19830116,ESP,173
200778,U,19360629,FRA,
200779,R,19440909,RSA,
200780,U,19460117,YUG,
200781,R,19361113,FRG,
200782,U,19470614,RSA,
200783,U,,TCH,
200784,U,19431218,AUS,
200785,U,19440326,CZE,
200786,U,19390630,FRA,
200787,R,19511221,URU,170
200788,U,19430311,GRE,
200789,R,19350322,ITA,
200790,U,,COL,
200791,R,19390323,FRA,
200792,U,19451018,FIN,
200793,U,19460210,ARG,
200794,U,19480716,SUI,
200795,U,19520807,MEX,
200796,U,19440210,GBR,
200797,U,,SUI,
200798,U,19450325,BUL,
200799,U,19450407,FRA,
200800,U,19431220,GBR,
200801,U,,FRG,
200802,U,,FRA,
200803,U,19490515,ARG,
200804,L,19401210,URS,
200805,U,19330510,FRA,
200806,L,19480114,FIN,
200807,L,19430130,SWE,
200808,U,19460715,RSA,
200809,U,19460101,FRA,
200810,R,19430925,RSA,180
200811,U,19480410,JPN,
200812,U,19480928,FRA,
200813,R,19431206,SWE,
200814,U,,RSA,
200815,R,19380419,ITA,
200816,U,,AUS,
200817,U,19481203,GBR,
200818,R,19451028,CAN,
200819,L,,FRA,
200820,U,,URS,
200821,U,19460103,ITA,
200822,R,19391122,FRG,
200823,U,19441216,SWE,
200824,R,19450712,URS,
200825,U,19430701,FRA,
200826,U,19450629,RSA,
200827,R,19281018,FRA,
200828,U,19510626,BRA,
200829,R,19420823,USA,160
200830,U,,FRA,
200831,U,19400616,ESP,
200832,U,19401120,FRA,
200833,U,19491208,HUN,
200834,U,19471014,BRA,
200835,R,19380412,FRA,
200836,U,19380317,BUL,
200837,U,19501012,YUG,
200838,U,,FRA,
200839,U,19480112,BEL,
200840,U,19451030,HUN,
200841,U,19430430,ESP,
200842,U,19440925,FRA,
200843,U,19410719,PER,
200844,U,19460302,FRA,
200845,R,19460212,RSA,
200846,U,,CHI,
200847,U,,GRE,
200848,R,19391011,BRA,170
200849,R,19401220,ITA,
200850,R,19450518,ITA,
200851,U,,ECU,
200852,U,19441006,BUL,
200853,U,19380126,FRA,
200854,R,19470719,ITA,
200855,U,,HUN,
200856,U,19501010,ARG,
200857,U,19500918,RSA,
200858,U,19250703,USA,
200859,U,19490427,POL,
200860,L,19500812,USA,
200861,U,,JPN,
200862,R,19490629,USA,173
