player_id,hand,dob,ioc,height
100787,R,19611115,AUS,188
100788,R,19611122,USA,188
100789,R,19611123,SUI,
100790,L,19611128,NZL,180
100791,R,19611201,USA,
100792,R,19611203,ROU,190
100793,R,19611208,CAN,188
100794,R,19620104,IND,190
100795,R,19620108,COL,185
100796,R,19620125,EGY,183
100797,L,19620202,USA,185
100798,R,19620205,USA,173
100799,R,19620208,ARG,190
100800,R,19620209,URU,178
100801,L,19620212,USA,
100802,R,19620213,RSA,185
100803,R,19620217,SWE,185
100804,R,19620301,RSA,188
100805,R,19620306,USA,
100806,R,19620310,RSA,183
100807,R,19620311,BRA,170
100808,R,19620317,GER,
100809,R,19620322,ESP,183
100810,R,19620326,USA,178
100811,R,19620405,GER,
100812,R,19620408,AUT,
100813,R,19620408,GER,
100814,R,19620415,ESP,193
100815,R,19620416,USA,183
100816,R,19620422,USA,
100817,L,19620424,USA,175
100818,R,19620424,USA,188
100819,R,19620426,URU,170
100820,R,19620428,FRA,178
100821,R,19620501,SWE,178
100822,R,19620502,USA,
100823,R,19620502,GBR,
100824,R,19620503,DEN,193
100825,R,19620505,PAR,178
100826,R,19620505,ESP,180
100827,R,19620507,FRA,178
100828,R,19620518,USA,
100829,R,19620530,SWE,185
100830,R,19620603,USA,190
100831,R,19620605,USA,188
100832,R,19620606,GRE,188
100833,R,19620608,USA,190
100834,R,19620609,GER,183
100835,R,19620612,GER,185
100836,R,19620613,CAN,175
100837,R,19620619,GBR,180
100838,R,19620625,AUS,
100839,R,19620628,CAN,180
100840,R,19620707,USA,188
100841,R,19620712,KOR,185
100842,R,19620714,GER,
100843,R,19620716,USA,185
100844,L,19620718,FRA,180
100845,R,19620726,USA,
100846,R,19620730,USA,188
100847,R,19620801,USA,
100848,R,19620803,ESP,175
100849,R,19620804,AUS,180
100850,R,19620805,USA,188
100851,R,19620807,CAN,185
100852,R,19620816,RSA,170
100853,L,19620820,KOR,175
100854,L,19620827,GBR,180
100855,R,19620827,USA,188
100856,R,19620903,USA,
100857,R,19620908,ESP,185
100858,R,19620912,SWE,183
100859,R,19540829,AUS,188
100860,R,19620929,USA,185
100861,R,19621005,USA,
100862,R,19621010,USA,
100863,R,19621011,ARG,185
100864,R,19621011,CAN,183
100865,L,19621013,ARG,178
100866,R,19621014,ISR,193
100867,R,19621016,USA,183
100868,R,19621018,AUS,188
100869,R,19621019,USA,190
100870,R,19621023,RSA,185
100871,R,19621023,AUS,183
100872,R,19621026,USA,183
100873,R,19621107,GER,178
100874,R,19621119,GER,
100875,R,19621120,USA,
100876,R,19621130,KOR,180
100877,R,19621204,USA,183
100878,R,19621205,GER,185
100879,R,19621212,GER,
100880,L,19621218,AUS,173
100881,R,19621220,USA,
100882,R,19621229,USA,180
100883,R,19621231,FRA,185
100884,R,19630101,GBR,190
100885,R,19630102,USA,178
100886,R,19630104,USA,
100887,R,19630113,USA,196
100888,R,19630116,SUI,
100889,R,19630202,USA,188
100890,R,19630202,PAK,
100891,R,19630216,USA,190
100892,R,19630219,BRA,190
100893,R,19630220,SWE,188
100894,R,19630227,ITA,183
100895,R,19630301,USA,
100896,R,19630308,PUR,180
100897,R,19630310,USA,183
100898,R,19630310,CHI,
100899,R,19630312,SWE,183
